alice_plus_animopus	Анимопус
alice_plus_khvatit	Хватит
alice_plus_kubokot	Кубокот
alice_plus_pozovi_blizkikh	Позови близких
alice_plus_skazbuka	Сказбука
audiobooks_bitlz	Битлз
audiobooks_diuna	Дюна
audiobooks_krossfeid	Кроссфейд
audiobooks_moia_volna	Моя волна
calls_ia_tebia_liubliu	Я тебя люблю
calls_miau	Мяу!
general_chto_ty_umeesh	Что ты умеешь?
general_davai_prigotovim_lazaniu	Давай приготовим лазанью
general_dobav_v_spisok_pokupok_iogurt_khleb_kefi	Добавь продукты в список покупок
general_dobav_v_spisok_pokupok_maslo	Добавь в список покупок масло
general_ekonom	Эконом
general_eshche_raz_rasskazhet_iz_chego_sostoit_b	Еще раз расскажет, из чего состоит блюдо
general_gromche	Громче
general_kak_budet_hello_po_angliiski	Как будет hello по-английски?
general_kak_dobratsia_do_kremlia	Как добраться до Кремля
general_kakie_novosti	Какие новости?
general_kakoe_segodnia_chislo	Какое сегодня число?
general_kakoi_u_menia_wi_fi	Какой у меня Wi-Fi?
general_komfort	Комфорт
general_kotoryi_chas	Который час?
general_kto_ty	Кто ты?
general_kurs_dollara	Курс доллара
general_mozhet_prislat_ssylku_tolko_vladeltsu_um	Mozhet prislat ssylku tolko vladeltsu um
general_mozhet_samostoiatelno_rasskazat_o_vazhny	Уведомления о событиях из Лавки
general_na_liubom_shage_rasskazhet_skolko_nuzhno	Сколько ингредиента добавить
general_na_minimum_gromkosti	На минимум громкости
general_na_polnuiu_gromkost	На полную громкость
general_naidi_retsept_sharlotki	Найди рецепт шарлотки
general_nazovi_sluchainoe_chislo_ot_1_do_100	Назови случайное число от 1 до 100
general_ochisti_spisok_pokupok	Очисти список покупок
general_opovestit_vas_kogda_kurer_budet_riadom_s	Сообщить о курьере рядом
general_otmeni_taimer	Отмени таймер
general_otmeni_taimery	Отмени таймеры
general_otmeni_zakaz	Отмени заказ
general_pauza	Пауза
general_perezagruzis	Перезагрузись
general_podbros_monetku	Подбрось монетку
general_pokazhi_spisok_pokupok	Покажи список покупок
general_pomoshch_blizkikh	Помощь близких
general_pomozhet_vam_bystro_oformit_zakaz_v_lavk	Оформи заказ в Лавке
general_potishe	Потише
general_povtori_ingredienty	Повтори ингредиенты
general_predydushchii_shag	Предыдущий шаг
general_privet	Привет
general_prodolzhai	Продолжай
general_rasskazhi_anekdot	Расскажи анекдот
general_skolko_budet_15_umnozhit_na_8	Сколько будет 15 умножить на 8
general_skolko_kilometrov_ot_moskvy_do_sankt_pet	Расстояние Москва — Санкт-Петербург
general_skolko_nado_muki	Сколько надо муки
general_skolko_vremeni_do_novogo_goda	Сколько времени до Нового года
general_spasibo	Спасибо
general_stop	Стоп
general_taimer_10_minut	Таймер 10 минут
general_taimer_11_minut	Таймер 11 минут
general_taimer_12_minut	Таймер 12 минут
general_taimer_13_minut	Таймер 13 минут
general_taimer_14_minut	Таймер 14 минут
general_taimer_15_minut	Таймер 15 минут
general_taimer_16_minut	Таймер 16 минут
general_taimer_17_minut	Таймер 17 минут
general_taimer_18_minut	Таймер 18 минут
general_taimer_19_minut	Таймер 19 минут
general_taimer_1_minut	Таймер 1 минута
general_taimer_20_minut	Таймер 20 минут
general_taimer_2_minut	Таймер 2 минуты
general_taimer_3_minut	Таймер 3 минуты
general_taimer_4_minut	Таймер 4 минуты
general_taimer_5_minut	Таймер 5 минут
general_taimer_6_minut	Таймер 6 минут
general_taimer_7_minut	Таймер 7 минут
general_taimer_8_minut	Таймер 8 минут
general_taimer_9_minut	Таймер 9 минут
general_tishe	Тише
general_tut_dalshe	Тут дальше
general_udali	Удали
general_udali_iz_spiska_pokupok_konfety	Удали конфеты из списка покупок
general_vkliuchi_bluetooth	Включи Bluetooth
general_vosproizvedet_retsept	Воспроизведет рецепт
general_vykliuchis	Выключись
general_vyzovi_taksi	Вызови такси
general_zakonchi_prigotovlenie	Закончи приготовление
kids_davai_obsudim_sekrety_blogerov	Давай обсудим секреты блогеров
kids_davai_pogadaem	Давай погадаем
kids_davai_s_igrekom	Давай с Игреком
kids_davai_sygraem_v_bystree_vyshe_silnee	Быстрее, выше, сильнее
kids_davai_sygraem_v_chto_bylo_ranshe	Что было раньше
kids_davai_sygraem_v_goroda	Давай сыграем в города
kids_davai_sygraem_v_kvest_detroit	Квест Detroit
kids_davai_sygraem_v_kvest_pro_kosmos	Давай сыграем в квест про космос
kids_davai_sygraem_v_naidi_lishnee	Найди лишнее
kids_davai_sygraem_v_shar_sudby	Шар судьбы
kids_davai_sygraem_v_slova	Давай сыграем в слова
kids_davai_sygraem_v_ugadai_aktera	Угадай актёра
kids_davai_sygraem_v_ugadai_chislo	Угадай число
kids_davai_sygraem_v_ugadai_pesniu	Угадай песню
kids_davai_sygraem_v_ugadai_zhivotnoe	Угадай животное
kids_davai_sygraem_v_veriu_ne_veriu	Верю — не верю
kids_davai_sygraem_v_viselitsu	Виселица
kids_davai_sygraem_v_zagadki	Давай сыграем в загадки
kids_davai_sygraem_v_zoologiiu	Зоология
kids_davai_trenirovat_zvuki	Давай тренировать звуки
kids_khochu_pomeniat_personazha	Хочу поменять персонажа
kids_khochu_zanimatsia_s_neimoi	Хочу заниматься с Неймой
kids_povtori	Повтори
kids_prochitai_totalnyi_diktant	Прочитай тотальный диктант
kids_rasskazhi_pro_etot_den_v_istorii	Расскажи про этот день в истории
kids_vkliuchi_druguiu_pesniu	Включи другую песню
kids_vybrat_personazha	Выбрать персонажа
kids_zapusti_legko_skazat	Запусти «Легко сказать»
music_a_eshche	А еще?
music_azerbaidzhan	Азербайджан
music_bitlz	Битлз
music_chto_igraet	Что играет?
music_dalshe	Дальше
music_davai_dalshe	Давай дальше
music_davai_poslushaem_albom_thriller_vperemes	Давай послушаем альбом Thriller вперемешку
music_davai_poslushaem_fonovuiu_muzyku	Давай послушаем фоновую музыку
music_davai_poslushaem_grustnoe	Давай послушаем грустное
music_davai_poslushaem_grustnuiu_vostochnuiu_m	Давай послушаем грустную восточную музыку
music_davai_poslushaem_instrumentalnuiu_muzyku	Давай послушаем инструментальную музыку
music_davai_poslushaem_khimeru	Давай послушаем «Химеру»
music_davai_poslushaem_muzyku_na_angliiskom_ia	Давай послушаем музыку на английском языке
music_davai_poslushaem_nazvanie_radiostantsii	Давай послушаем [ название радиостанции ]
music_davai_poslushaem_pesniu_v_zhanre_rok	Давай послушаем песню в жанре рок
music_davai_poslushaem_populiarnuiu_muzyku	Давай послушаем популярную музыку
music_davai_poslushaem_radio	Давай послушаем радио
music_davai_poslushaem_shum_okeana	Давай послушаем шум океана
music_davai_spoem_pod_karaoke_pesniu_maksim_zn	Давай споём «Знаешь ли ты» в караоке
music_gromkost_na_1_10	Громкость от 1 до 10
music_gromkost_na_sem	Громкость на семь
music_igrai_vezde	Играй везде
music_kakaia_skorost_vosproizvedeniia	Какая скорость воспроизведения?
music_kakie_radiostantsii_u_tebia_est	Какие радиостанции у тебя есть?
music_kazakhstan	Казахстан
music_khochu_chto_nibud_drugoe	Хочу что-нибудь другое
music_laik	Лайк
music_na_20_sekund_nazad	На 20 секунд назад
music_navyk	Навык
music_nazhmi_stop	Нажми стоп
music_nazyvai_menia_novoe_imia	Называй меня [новое имя]
music_novosti	Новости
music_otkroi_pleilist_mne_nravitsia	Открой плейлист «Мне нравится»
music_peremotai	Перемотай
music_podkast	Подкаст
music_pogoda	Погода
music_pokazhi_ispolnitelia	Покажи исполнителя
music_pokazhi_slova_pesni	Покажи слова песни
music_postav	Поставь
music_postav_keltskuiu_muzyku	Поставь кельтскую музыку
music_postav_muzyku_60_kh_na_angliiskom	Поставь музыку 60-х на английском
music_postav_muzyku_80_kh	Поставь музыку 80-х
music_postav_osennee	Поставь осеннее
music_postav_penie_ptits	Поставь пение птиц
music_postav_pleilist_luchshie_kompozitsii_vpe	Лучшие композиции вперемешку
music_postav_skorost_2	Поставь скорость 2
music_postav_trek_moe_serdtse_na_povtore	Поставь трек «Мое сердце» на повторе
